source_id	year	title	venue	primary_url	local_file	status	trialcompiler_use	boundary
AUQ-001	2026	Uncertainty Quantification in LLM Agents: Foundations, Emerging Challenges, and Opportunities	arXiv:2602.05073	https://arxiv.org/abs/2602.05073	references/inbox/agent_uncertainty_xai/Oh_2026_Agent_UQ_Foundations.pdf	verified_pdf	Agent UQ formulation; heterogeneous entities; uncertainty dynamics	Position paper and framework; not evidence that TrialCompiler is calibrated
AUQ-002	2026	Agentic Uncertainty Quantification	arXiv:2601.15703	https://arxiv.org/abs/2601.15703	references/inbox/agent_uncertainty_xai/Zhang_2026_Agentic_UQ.pdf	verified_pdf	Forward propagation; reflection; trajectory calibration	One proposed architecture; verbalized confidence is not automatically reliable
AUQ-003	2026	Agentic Confidence Calibration	ICML 2026	https://arxiv.org/abs/2601.15778	references/inbox/agent_uncertainty_xai/Zhang_2026_Agentic_Confidence_Calibration.pdf	verified_pdf	Process features and holistic trajectory calibration	Requires labeled trajectories and independent evaluation
AUQ-004	2024	Detecting hallucinations in large language models using semantic entropy	Nature 630	https://doi.org/10.1038/s41586-024-07421-0	references/inbox/agent_uncertainty_xai/Farquhar_2024_Semantic_Entropy.pdf	verified_pdf	Semantic sampling as a black-box uncertainty signal	Detects confabulation subset; low entropy does not prove correctness
AUQ-005	2024	Uncertainty in Language Models: Assessment through Rank-Calibration	EMNLP 2024	https://doi.org/10.18653/v1/2024.emnlp-main.18	references/inbox/agent_uncertainty_xai/Huang_2024_Rank_Calibration.pdf	verified_pdf	Compare heterogeneous UQ scores without ad-hoc thresholds	Rank calibration measures ordering; not probability calibration by itself
AUQ-006	2024	Language Models with Conformal Factuality Guarantees	ICML 2024	https://proceedings.mlr.press/v235/mohri24a.html	references/inbox/agent_uncertainty_xai/Mohri_2024_Conformal_Factuality.pdf	verified_pdf	Back-off and uncertainty sets with coverage claims	Guarantees depend on calibration population and assumptions
AUQ-007	2025	Structured Uncertainty guided Clarification for LLM Agents	arXiv:2511.08798	https://arxiv.org/abs/2511.08798	references/inbox/agent_uncertainty_xai/Suri_2025_Structured_Uncertainty_Clarification.pdf	verified_pdf	EVPI-style clarification and action-cost trade-off	Tool-parameter ambiguity setting; transfer to documents must be tested
XAI-001	2024	Are self-explanations from Large Language Models faithful?	Findings of ACL 2024	https://doi.org/10.18653/v1/2024.findings-acl.19	references/inbox/agent_uncertainty_xai/Madsen_2024_Self_Explanations_Faithful.pdf	verified_pdf	Behavioral tests for self-explanation faithfulness	Faithfulness is model/task/explanation dependent
XAI-002	2024	Towards Faithful Model Explanation in NLP: A Survey	Computational Linguistics 50(2)	https://doi.org/10.1162/coli_a_00511		external_link_only	Faithfulness definitions and method taxonomy	PDF download was incomplete; use DOI/ACL page as source
XAI-003	2025	Which Agent Causes Task Failures and When?	arXiv:2505.00212	https://arxiv.org/abs/2505.00212	references/inbox/agent_uncertainty_xai/Zhang_2025_Agent_Failure_Attribution.pdf	verified_pdf	Agent/step failure attribution benchmark	Shows attribution difficulty; does not validate causal explanation
MEDXAI-001	2026	Faithful or Just Plausible? Evaluating the Faithfulness of Closed-Source LLMs in Medical Reasoning	ML4H 2026	https://proceedings.mlr.press/v297/afolabi26a.html	references/inbox/agent_uncertainty_xai/Afolabi_2026_Medical_Reasoning_Faithfulness.pdf	verified_pdf	Medical reasoning explanation faithfulness and human perception	Patient-style diagnosis differs from trial-document reconciliation
MEDXAI-002	2022	Explainable medical imaging AI needs human-centered design	npj Digital Medicine	https://doi.org/10.1038/s41746-022-00699-2	references/inbox/agent_uncertainty_xai/Chen_2022_Human_Centered_Medical_XAI.pdf	verified_pdf	Role/task/workflow-centered explanation design	Imaging XAI findings require adaptation to document agents
