evidence_id	source_group	subject_or_platform	professional_role	published_at	source_url	original_or_submitted_text	verification_status	evidence_tier	permitted_use	verification_note
BR-SOC-001	social_media_candidate	微博	not_verified	2026-05-20 00:00:00		临床研究员的一天，80%的时间都在复制粘贴改格式，剩下20%在核对数据，真的会谢	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-002	social_media_candidate	微博	not_verified	2026-04-15 00:00:00		谁懂啊，一份CSR报告改了8版，每次改完都要全文核对一遍，眼睛都要看瞎了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-003	social_media_candidate	微博	not_verified	2026-03-22 00:00:00		临床方案写了三个月，跨部门会审改了又改，每个部门都有不同的意见，版本乱成一锅粥	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-004	social_media_candidate	微博	not_verified	2026-02-18 00:00:00		又到了熬夜核对数据的日子，EDC里的数据要一个个手动填到报告里，生怕错一个数字	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-005	social_media_candidate	微博	not_verified	2026-01-10 00:00:00		临床新人入职，光是找历史试验方案就找了半个月，老员工离职经验全带走了，全靠自己摸索	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-006	social_media_candidate	微博	not_verified	2025-12-05 00:00:00		GCP合规检查又来了，几百份文档要手动整理归档，每一份都要核对版本和签名，太折磨了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-007	social_media_candidate	微博	not_verified	2025-11-20 00:00:00		临床研究员=高级文员+校对员+客服，天天跟数据和文档打交道，专业能力全耗在重复劳动里了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-008	social_media_candidate	微博	not_verified	2025-10-15 00:00:00		一份知情同意书，前前后后改了12版，每次修改都要同步更新所有配套文件，手动改到崩溃	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-009	social_media_candidate	微博	not_verified	2025-09-02 00:00:00		试验方案里的入排标准，每次修订都要手动核对所有受试者数据，生怕有一个人不符合要求	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-010	social_media_candidate	微博	not_verified	2025-08-18 00:00:00		临床项目延期，全是因为文档改来改去，人工核对效率太低了，什么时候是个头啊	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
