id	title	year	artifact_type	primary_task	public_artifact	code_or_data	maturity	relation_to_trialcompiler
LAND-001	TrialDesignBench	2026	benchmark_and_runner	Reproduce statistical trial designs from SAP or protocol and generate executable R artifacts	https://trialdesignbench.org/	https://github.com/BBSW-org/TrialDesignBench	emerging_public_benchmark	Strong reference for case packaging, traceable rubrics, reproducible code artifacts, trajectory recording, and safety gates; it does not yet evaluate cross-document fact consistency or amendment propagation.
LAND-002	InformBench and InformGen	2025	benchmark_dataset_and_pipeline	Generate informed consent forms from protocols with regulatory compliance, factuality, and inline provenance	https://arxiv.org/abs/2504.00934	https://huggingface.co/datasets/zifeng-ai/InformBench	mature_public_dataset	Closest public benchmark for protocol-to-associated-document generation; narrower than TrialCompiler because it focuses on protocol-to-ICF transformation rather than a multi-document dependency and version graph.
LAND-003	ClinicalReTrial	2026	multi_agent_research_system	Iteratively redesign failed clinical trial protocols using diagnosis, safety validation, candidate evaluation, reward, and hierarchical memory	https://arxiv.org/abs/2601.00290	https://github.com/xingsixue123/ClinicalFailureReasonReTrial	research_code_available	Useful loop and memory reference, but its reward is predicted trial success and its target is scientific protocol optimization, not controlled document compilation and consistency.
LAND-004	AutoTrial	2023	generation_method	Generate eligibility criteria from trial descriptions with retrieval and hybrid prompting	https://aclanthology.org/2023.emnlp-main.766/		published_task	Useful baseline for one protocol section; it does not manage whole-document facts, versions, or dependent files.
LAND-005	CTBench	2024	benchmark	Predict baseline feature lists from trial metadata	https://arxiv.org/abs/2406.17888		public_benchmark	Adjacent trial-design benchmark with list-based semantic metrics; its task is substantially narrower than document engineering.
LAND-006	From RAGs to riches	2025	evaluation_study	Generate protocol sections and evaluate clinical logic, references, terminology, and relevance	https://pubmed.ncbi.nlm.nih.gov/40013826/		peer_reviewed_evaluation	Supports RAG and expert rubric baselines for authoring quality; it does not provide a dependency-aware change engine.
LAND-007	Clinical Trials Protocol Authoring using LLMs	2024	prototype_report	Generate clinical trial protocol sections from structured drug and study metadata	https://arxiv.org/abs/2404.05044		prototype_report	Evidence that structured metadata improves drafting; lacks the controlled fact approval and benchmark depth required by TrialCompiler.
LAND-008	AI-assisted protocol information extraction for improved accuracy and efficiency in clinical trial workflows	2026	evaluation_study	Extract hundreds of structured fields from protocols with RAG and expert adjudication	https://www.sciencedirect.com/science/article/pii/S1532046426000602		peer_reviewed_evaluation	Direct support for candidate fact extraction and adjudication at scale; does not by itself solve cross-document change propagation.
LAND-009	ClinicalTrials.gov Quality Control Review Criteria	2026	official_quality_rules	Check registration records and uploaded clinical study documents for consistency and submission quality	https://clinicaltrials.gov/submit-studies/prs-help/results-quality-control-review-criteria		official_operational_rules	Authoritative source for deterministic quality checks, document metadata, version dates, and upload constraints.
LAND-010	ICH M11 Clinical electronic Structured Harmonised Protocol	2026	regulatory_standard	Standardize protocol content, terminology, and exchange fields	https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m11-clinical-electronic-structured-harmonised-protocol		official_final_guidance	Strong foundation for the Trial Fact Sheet schema and machine-readable protocol representation.
LAND-011	TrialBench	2025	multimodal_dataset_suite	Predict trial outcomes and design attributes across eight tasks	https://www.nature.com/articles/s41597-025-05680-8	https://github.com/ML2Health/ML2ClinicalTrials/tree/main/AI4Trial	mature_dataset_suite	Important context and baselines for trial prediction, but not a benchmark for document consistency or authoring control.
LAND-012	TrialReviewBench and TrialMind	2025	benchmark_and_pipeline	Search, screen, and extract evidence for systematic reviews of clinical trials	https://www.nature.com/articles/s41746-025-01840-7	https://huggingface.co/datasets/zifeng-ai/TrialReviewBench	mature_public_benchmark	Demonstrates expert-grounded evaluation and human-AI collaboration, but addresses evidence synthesis rather than protocol document lifecycle management.
