source_id,title,organization_or_journal,year,url,source_type,topic,use_for_trialcompiler,relevant_position,access_status,local_path,notes
MED-001,ICH M11 Clinical electronic Structured Harmonised Protocol CeSHarP final guideline,ICH,2025,https://database.ich.org/sites/default/files/ICH_Step4_M11_Final_Guideline_2025_1119.pdf,regulatory_guideline,clinical_protocol_structure,Defines why a harmonised structured protocol standard is needed and supports TrialCompiler's protocol-as-structured-object framing,whole guideline; purpose and technical specification rationale,public_pdf,references/inbox/medical/ICH_M11_Final_Guideline_2025.pdf,High priority source for Trial Fact Sheet and Clinical Document Graph narrative
MED-002,ICH M11 Clinical electronic Structured Harmonised Protocol CeSHarP final template,ICH,2025,https://database.ich.org/sites/default/files/ICH_Step4_M11_Final_Template_2025_1119.pdf,template,clinical_protocol_template,Provides public protocol section structure and headings for synthetic protocol documents and dependency graph units,template table of contents and section instructions,public_pdf,references/inbox/medical/ICH_M11_Final_Template_2025.pdf,Core template source
MED-003,ICH M11 Explainer,ICH,2026,https://database.ich.org/sites/default/files/ICH%20M11%20Explainer_May2026.pdf,official_explainer,clinical_protocol_structure,Concise explanation of the three interconnected M11 deliverables useful for competition storytelling,three elements; protocol template; technical specification,public_pdf,references/inbox/medical/ICH_M11_Explainer_2026.pdf,Good poster and oral defense source
MED-004,M11 Clinical Electronic Structured Harmonised Protocol,US FDA,2026,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m11-clinical-electronic-structured-harmonised-protocol,regulatory_page,clinical_protocol_structure,Shows FDA adoption of ICH M11 and reinforces regulatory relevance in the US context,summary and guidance availability,public_html,references/inbox/medical/FDA_M11_CeSHarP.html,Use as official adoption page
MED-005,ICH M11 guideline clinical study protocol template and technical specifications scientific guideline,European Medicines Agency,2023,https://www.ema.europa.eu/en/ich-m11-guideline-clinical-study-protocol-template-technical-specifications-scientific-guideline,regulatory_page,clinical_protocol_structure,Shows EMA framing of M11 as consistent protocol preparation and harmonised data exchange,overview page,public_html,references/inbox/medical/EMA_ICH_M11_overview.html,Use for EU regulatory context
MED-006,SPIRIT 2013 Checklist recommended items to address in a clinical trial protocol and related documents,SPIRIT Group,2013,https://www.spirit-statement.org/wp-content/uploads/2013/01/SPIRIT-Checklist-download-8Jan13.pdf,checklist,protocol_quality_items,Provides checklist items for protocol completeness and amendment tracking; useful for document unit tests,full checklist; amendment tracking item,public_pdf,references/inbox/medical/SPIRIT_2013_Checklist.pdf,Creative Commons BY-NC-ND noted on source
MED-007,SPIRIT 2013 Statement defining standard protocol items for clinical trials,SPIRIT Group,2013,https://www.spirit-statement.org/wp-content/uploads/SPIRIT_2013_Statement_FR_final.pdf,guideline_statement,protocol_quality_items,Supports standard protocol item taxonomy and schedule of enrolment/interventions/assessments examples,related documents and figure,public_pdf,references/inbox/medical/SPIRIT_2013_Statement.pdf,Useful for TrialDocBench completeness rules
MED-008,SPIRIT electronic protocol tool and resource SEPTRE overview,SPIRIT Group,2026,https://www.spirit-statement.org/,tool_reference,protocol_authoring_tool,Shows an existing online tool for creating registering and managing trial protocols; useful as prior-art/benchmark context,SEPTRE description,public_html,references/inbox/medical/SPIRIT_home_SEPTRE.html,Good comparison point for our graph-plus-testing approach
MED-009,SPIRIT-AI extension for clinical trial protocols involving AI interventions,BMJ / SPIRIT-AI Group,2020,https://pmc.ncbi.nlm.nih.gov/articles/PMC8212701/,guideline_extension,ai_trial_protocols,Useful for AI-related protocol items and for distinguishing AI-in-clinical-trial content from AI-as-authoring-tool governance,extension items and reporting rationale,public_html,references/inbox/medical/SPIRIT_AI_Extension_PMC.html,Open PMC source
MED-010,CONSORT 2010 Statement updated guidelines for reporting parallel group randomised trials,CONSORT Group / BMJ,2010,https://www.bmj.com/content/340/bmj.c332,guideline_statement,trial_reporting_consistency,Provides reporting consistency principles linked to SPIRIT and supports downstream document alignment discussion,checklist and flow diagram sections,public_html,references/inbox/medical/CONSORT_2010_BMJ.html,Public BMJ page
MED-011,ClinicalTrials.gov Protocol Registration Data Element Definitions for Interventional and Observational Studies,ClinicalTrials.gov / NLM,2026,https://clinicaltrials.gov/policy/protocol-definitions,data_element_definitions,registry_fields,Provides structured data-element vocabulary for endpoints arms eligibility and outcomes; useful for Trial Fact Sheet fields,whole data element definitions page,public_html,references/inbox/medical/ClinicalTrialsGov_Protocol_Definitions.html,High value for fact schema
MED-012,Clinical Trial Protocol Template,NIH-FDA,2021,https://www.fda.gov/media/152143/download,template,clinical_protocol_template,Public protocol template for interventional trials; useful for synthetic examples and section mapping,protocol template sections,public_pdf,references/inbox/medical/NIH_FDA_Clinical_Trial_Protocol_Template.pdf,Download may require fallback if FDA blocks direct access
MED-013,ICH E6(R3) Good Clinical Practice guideline,ICH,2025,https://database.ich.org/sites/default/files/ICH_E6%28R3%29_Step4_FinalGuideline_2025_0106.pdf,regulatory_guideline,good_clinical_practice,Defines quality by design proportionality roles responsibilities and essential document principles,principles and protocol responsibilities,public_pdf,references/inbox/medical/ICH_E6_R3_Final_Guideline_2025.pdf,Supports governance and human approval boundary
