source_id	category	title	organization	year	url	source_type	primary_use	access_status	local_path
MED-001	medical	ICH M11 Clinical electronic Structured Harmonised Protocol CeSHarP final guideline	ICH	2025	https://database.ich.org/sites/default/files/ICH_Step4_M11_Final_Guideline_2025_1119.pdf	regulatory_guideline	Structured protocol standard and Trial Fact Sheet rationale	public_pdf	references/inbox/medical/ICH_M11_Final_Guideline_2025.pdf
MED-002	medical	ICH M11 Clinical electronic Structured Harmonised Protocol CeSHarP final template	ICH	2025	https://database.ich.org/sites/default/files/ICH_Step4_M11_Final_Template_2025_1119.pdf	template	Public protocol section structure and document unit mapping	public_pdf	references/inbox/medical/ICH_M11_Final_Template_2025.pdf
MED-003	medical	ICH M11 Explainer	ICH	2026	https://database.ich.org/sites/default/files/ICH%20M11%20Explainer_May2026.pdf	official_explainer	Concise official story for structured protocol deliverables	public_pdf	references/inbox/medical/ICH_M11_Explainer_2026.pdf
MED-004	medical	M11 Clinical Electronic Structured Harmonised Protocol	US FDA	2026	https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m11-clinical-electronic-structured-harmonised-protocol	regulatory_page	US adoption page for ICH M11	public_html	references/inbox/medical/FDA_M11_CeSHarP.html
MED-005	medical	ICH M11 guideline clinical study protocol template and technical specifications scientific guideline	European Medicines Agency	2023	https://www.ema.europa.eu/en/ich-m11-guideline-clinical-study-protocol-template-technical-specifications-scientific-guideline	regulatory_page	EU regulatory context for harmonised protocol preparation	public_html	references/inbox/medical/EMA_ICH_M11_overview.html
MED-006	medical	SPIRIT 2013 Checklist recommended items to address in a clinical trial protocol and related documents	SPIRIT Group	2013	https://www.spirit-statement.org/wp-content/uploads/2013/01/SPIRIT-Checklist-download-8Jan13.pdf	checklist	Protocol completeness and amendment-tracking checklist	public_pdf	references/inbox/medical/SPIRIT_2013_Checklist.pdf
MED-007	medical	SPIRIT 2013 Statement defining standard protocol items for clinical trials	SPIRIT Group	2013	https://www.spirit-statement.org/wp-content/uploads/SPIRIT_2013_Statement_FR_final.pdf	guideline_statement	Protocol item taxonomy and schedule examples	public_pdf	references/inbox/medical/SPIRIT_2013_Statement.pdf
MED-008	medical	SPIRIT electronic protocol tool and resource SEPTRE overview	SPIRIT Group	2026	https://www.spirit-statement.org/	tool_reference	Existing protocol creation and management tool context	public_html	references/inbox/medical/SPIRIT_home_SEPTRE.html
MED-009	medical	SPIRIT-AI extension for clinical trial protocols involving AI interventions	BMJ and SPIRIT-AI Group	2020	https://pmc.ncbi.nlm.nih.gov/articles/PMC8212701/	guideline_extension	AI-related protocol items and AI trial documentation boundaries	public_html	references/inbox/medical/SPIRIT_AI_Extension_PMC.html
MED-010	medical	CONSORT 2010 Statement updated guidelines for reporting parallel group randomised trials	BMC Medicine	2010	https://link.springer.com/article/10.1186/1741-7015-8-18	guideline_statement	Trial reporting checklist and consistency principles	public_html	references/inbox/medical/CONSORT_2010_BMC.html
MED-011	medical	ClinicalTrials.gov Protocol Registration Data Element Definitions for Interventional and Observational Studies	ClinicalTrials.gov and NLM	2026	https://clinicaltrials.gov/policy/protocol-definitions	data_element_definitions	Structured vocabulary for endpoints arms eligibility and outcomes	public_html	references/inbox/medical/ClinicalTrialsGov_Protocol_Definitions.html
